28190,1
29972,1
30436,1
34078,1
59879,1
72618,1
74358,1
137749,1
143310,1
2701,3
6637,3
10991,3
11234,3
13706,3
14940,3
15653,3
16582,3
20042,3
24010,3
25056,3
25240,3
26603,3
26821,3
27353,3
29110,3
29195,3
30436,3
30714,3
31384,3
31825,3
32077,3
32273,3
32993,3
33020,3
34012,3
34078,3
34896,3
36833,3
41297,3
41915,3
42089,3
42429,3
43775,3
45168,3
50206,3
50461,3
50854,3
52881,3
53781,3
57295,3
57578,3
59788,3
61897,3
63679,3
65524,3
65806,3
66418,3
67932,3
68529,3
69407,3
71110,3
72618,3
73261,3
74358,3
75576,3
79933,3
79987,3
80720,3
83540,3
86844,3
88426,3
92931,3
94451,3
99569,3
105293,3
106931,3
109503,3
112208,3
122045,3
125001,3
128534,3
131166,3
143787,3
9336,4
10218,4
13195,4
14940,4
16962,4
17213,4
17283,4
19337,4
20042,4
21877,4
24871,4
25240,4
25779,4
27006,4
27266,4
27819,4
28331,4
28461,4
28692,4
29215,4
29246,4
30185,4
30436,4
30714,4
30932,4
31048,4
31059,4
31286,4
31825,4
33311,4
33759,4
34078,4
34522,4
34896,4
35654,4
36150,4
36690,4
36734,4
36833,4
37407,4
37562,4
39020,4
40113,4
40645,4
40800,4
41507,4
41839,4
41840,4
42429,4
42689,4
42774,4
43775,4
43865,4
44318,4
45168,4
45433,4
46044,4
46432,4
48658,4
49116,4
50072,4
50688,4
51344,4
53158,4
53278,4
53454,4
53474,4
54199,4
54313,4
54845,4
55745,4
57578,4
57832,4
57879,4
58570,4
58662,4
59624,4
59925,4
62435,4
62645,4
65220,4
65806,4
66531,4
67228,4
68078,4
68529,4
68826,4
69407,4
69811,4
71110,4
72618,4
72731,4
73261,4
75576,4
79933,4
80720,4
81489,4
83321,4
83468,4
83753,4
86844,4
86854,4
88426,4
88458,4
89631,4
90518,4
92917,4
92931,4
94440,4
94451,4
94924,4
99569,4
104805,4
104808,4
104916,4
105293,4
106777,4
108275,4
109503,4
110796,4
111575,4
113198,4
114080,4
118832,4
119139,4
124169,4
125001,4
125125,4
127040,4
127317,4
128534,4
128837,4
129426,4
131166,4
132158,4
134427,4
135026,4
136678,4
141091,4
143575,4
143636,4
143771,4
144451,4
145691,4
145888,4
147433,4
2130,5
14127,5
16582,5
19397,5
23061,5
24082,5
31384,5
34896,5
37171,5
42429,5
43775,5
49691,5
61625,5
69407,5
69521,5
71535,5
72618,5
74358,5
83540,5
92931,5
96372,5
99051,5
131166,5
